Bank Height (%),keff,keff unc,Lifetime (us),Lifetime unc (us),Beff,Beff unc,B_1,B_2,B_3,B_4,B_5,B_6,L_1,L_2,L_3,L_4,L_5,L_6,half life (s),E_1,E_2,E_3,E_4,E_5,E_6,E_1 unc,E_2 unc,E_3 unc,E_4 unc,E_5 unc,E_6 unc,B_1 unc,L_1 unc,B_2 unc,L_2 unc,B_3 unc,L_3 unc,B_4 unc,L_4 unc,B_5 unc,L_5 unc,B_6 unc,L_6 unc
0,0.96993,0.00022,52.71624,0.72729,0.007490000000000002,0.00042,0.00021,0.00152,0.00124,0.00275,0.00114,0.00064,0.01334,0.03271,0.12074,0.30293000000000003,0.85035,2.85528,0.24276,0.4109100000000001,0.46783,0.44334,0.55847,0.51736,0.54277,0.00693,0.00305,0.00303,0.00274,0.00446,0.0077,7e-05,0.0,0.00019,0.0,0.00017,1e-05,0.00024,1e-05,0.00018,7e-05,0.00013000000000000002,0.00038
5,0.97011,0.00022,52.02125,0.6288,0.006790000000000001,0.00037999999999999997,0.00028,0.0012699999999999999,0.00107,0.0024,0.00125,0.0005200000000000001,0.013340000000000001,0.03272,0.12074000000000001,0.3029,0.8504,2.85489,0.24279,0.40042,0.47135,0.44136000000000003,0.56048,0.51413,0.53345,0.00678,0.00307,0.00303,0.0027199999999999998,0.00446,0.0073799999999999985,9e-05,0.0,0.00016,0.0,0.00016,1e-05,0.00022999999999999998,1e-05,0.00016,7e-05,0.00011,0.00037999999999999997
10,0.97164,0.00024,51.9097,0.62469,0.00716,0.00041,0.00027,0.00109,0.00136,0.00295,0.0011,0.00039,0.01334,0.03271,0.12075,0.30292,0.8503799999999999,2.85473,0.24281,0.3985800000000001,0.47149,0.44187,0.5521699999999999,0.5130399999999999,0.53956,0.006670000000000001,0.00305,0.00303,0.00268,0.00444,0.00748,7e-05,0.0,0.00016,0.0,0.00018,1e-05,0.00027,1e-05,0.00017,7e-05,8e-05,0.00038
15,0.9731799999999999,0.00025,53.13991,0.6545300000000001,0.00648,0.00037999999999999997,0.00015,0.0011,0.00124,0.00251,0.00108,0.00039,0.013340000000000001,0.03271,0.12075,0.30291,0.8503700000000001,2.8551900000000003,0.24276999999999999,0.40726,0.47357,0.44314,0.5563,0.523,0.54893,0.006790000000000001,0.0030600000000000002,0.00307,0.0027300000000000002,0.00448,0.0077,5e-05,0.0,0.00015,0.0,0.00016999999999999999,1e-05,0.00023999999999999998,1e-05,0.00016,7e-05,9e-05,0.0004
20,0.97532,0.00024,53.35996,0.65752,0.00674,0.00038,0.00022,0.00108,0.00103,0.00281,0.00117,0.00043,0.01334,0.03271,0.12075,0.30288000000000004,0.8504,2.8546400000000003,0.24281,0.4026,0.46767,0.44652,0.55324,0.5193399999999999,0.5362600000000001,0.0068,0.00307,0.00304,0.00274,0.00439,0.0075400000000000016,6e-05,0.0,0.00014,0.0,0.00013000000000000002,1e-05,0.00026000000000000003,1e-05,0.00016,7e-05,9e-05,0.00037
25,0.97785,0.00023999999999999998,52.91469,0.59612,0.007659999999999998,0.00042,0.00022,0.00131,0.00134,0.0029100000000000003,0.0012,0.00067,0.013340000000000001,0.03271,0.12074000000000001,0.30291999999999997,0.8503700000000001,2.8550299999999997,0.24278000000000002,0.40948,0.47107,0.43558,0.56038,0.51685,0.53537,0.00689,0.00307,0.00298,0.00274,0.004370000000000001,0.0073700000000000015,5.9999999999999995e-05,0.0,0.00016999999999999999,0.0,0.00016999999999999999,1e-05,0.00027,1e-05,0.00016,7e-05,0.00015,0.00037999999999999997
30,0.98086,0.0002,51.4878,0.51676,0.00689,0.00039,0.00025,0.00104,0.00119,0.00256,0.00126,0.00059,0.01334,0.03271,0.12074,0.30292,0.85031,2.85512,0.24277,0.40046,0.4754600000000001,0.44176,0.5614399999999999,0.52222,0.53875,0.00678,0.0030800000000000003,0.00301,0.00274,0.00448,0.007409999999999998,7e-05,0.0,0.00014,0.0,0.00016,1e-05,0.00025,1e-05,0.00017,6e-05,0.00012,0.00037
35,0.98459,0.00026000000000000003,52.1087,0.58732,0.0069,0.00039,0.00025,0.0012699999999999999,0.0011300000000000001,0.00262,0.00117,0.00045999999999999996,0.013340000000000001,0.03271,0.12072999999999999,0.30291,0.8503799999999999,2.8559,0.24270999999999998,0.41302,0.47631999999999997,0.44448000000000004,0.5593600000000001,0.52228,0.53578,0.00702,0.00307,0.0030600000000000002,0.00274,0.00447,0.00765,7e-05,0.0,0.00018,0.0,0.00016,1e-05,0.00023999999999999998,1e-05,0.00016,7e-05,0.0001,0.00042
40,0.98882,0.00022,51.70015,0.58919,0.00725,0.0004,0.00014,0.00123,0.00122,0.00301,0.00107,0.00059,0.01334,0.03271,0.12075,0.30292,0.85052,2.85543,0.24275,0.41462,0.47444,0.4387,0.55711,0.52118,0.5332,0.00703,0.0031100000000000004,0.00298,0.00272,0.00446,0.00745,4e-05,0.0,0.00015,0.0,0.00016,1e-05,0.00027,1e-05,0.00015,7e-05,0.00013000000000000002,0.00038
45,0.99369,0.00022999999999999998,52.16895,0.60031,0.007240000000000002,0.00041,0.00025,0.00126,0.00123,0.00282,0.00119,0.00047999999999999996,0.013340000000000001,0.03271,0.12074000000000001,0.30295,0.8504200000000001,2.85596,0.2427,0.40456,0.47498,0.44485,0.55308,0.51927,0.53215,0.00671,0.00307,0.0030399999999999997,0.00274,0.0044399999999999995,0.00744,7e-05,0.0,0.00018,0.0,0.00015,1e-05,0.00026000000000000003,1e-05,0.00016999999999999999,7e-05,0.00011,0.00042
