height (%),safe,safe unc,shim,shim unc,reg,reg unc
0,1.00409,0.00049,1.00042,0.00057,1.01232,0.00058
10,1.00604,0.00053,1.00207,0.00047,1.01177,0.0005
20,1.0068,0.00047,1.0026899999999999,0.00053,1.01285,0.00053
30,1.0079799999999999,0.0005099999999999999,1.00547,0.00045,1.01437,0.00058
40,1.01024,0.00053,1.00706,0.0005099999999999999,1.0148,0.00048
50,1.0139,0.0005200000000000001,1.0107700000000002,0.00056,1.01744,0.00053
60,1.01531,0.00057,1.0156100000000001,0.0005200000000000001,1.0184,0.00056
70,1.01816,0.00054,1.01845,0.00049,1.02017,0.0005200000000000001
80,1.0193299999999998,0.00054,1.01966,0.0005099999999999999,1.02245,0.00044
90,1.0218200000000002,0.0005200000000000001,1.02219,0.00054,1.02257,0.00047999999999999996
100,1.02285,0.00053,1.02285,0.00053,1.02285,0.00053
