void (at%),rho,rho unc,dollars,dollars unc
0,0.0,0.0,0.0,0.0
2,-0.03298285028004025,-0.016316347444613286,-0.04397713370672034,-0.021755129926151043
4,-0.02849886929310934,-0.007785901901448474,-0.03799849239081245,-0.010381202535264634
6,-0.04105259261186708,-0.0049561117556113496,-0.054736790149156105,-0.0066081490074818006
8,-0.040960672572689566,-0.003901283591170425,-0.05461423009691941,-0.0052017114548939
10,-0.04202658929826261,-0.003430890690994442,-0.05603545239768348,-0.004574520921325922
12,-0.05024232839133334,-0.0025468140154085626,-0.06698977118844446,-0.0033957520205447514
14,-0.0484845207067639,-0.0022371502681111854,-0.06464602760901854,-0.0029828670241482474
16,-0.051168347643633705,-0.00205496260429687,-0.06822446352484494,-0.002739950139062493
18,-0.0515811254351981,-0.0017443580536146723,-0.06877483391359746,-0.0023258107381528958
20,-0.05932688215747656,-0.001611662870060972,-0.07910250954330206,-0.0021488838267479634
