temp (C),keff,keff unc
1,1.02029,0.00054
5,1.0206,0.00053
10,1.02136,0.0005
15,1.02231,0.00057
20,1.02328,0.0005200000000000001
25,1.0239,0.00057
30,1.02405,0.00042
35,1.02514,0.00047999999999999996
40,1.0232,0.0005099999999999999
45,1.02439,0.00047999999999999996
50,1.0256299999999998,0.00056
55,1.02495,0.00047000000000000004
60,1.02588,0.00049
65,1.02609,0.00054
70,1.02552,0.00054
75,1.0263200000000001,0.0005
80,1.02692,0.00047
85,1.02757,0.00049
90,1.02764,0.00045
95,1.02671,0.00045
99,1.02729,0.00047
